,x,y,z,field,total_count
593,480,784,2,38,4720
594,596,794,2,38,4082
595,373,800,2,38,4553
596,365,917,2,38,1095
597,424,958,2,38,2097
598,709,130,3,38,7538
599,466,134,3,38,4568
600,414,140,3,38,4905
601,657,158,3,38,6080
602,620,262,3,38,4155
603,512,301,3,38,3725
604,310,302,3,38,4523
605,506,362,3,38,5926
606,713,384,3,38,7914
607,674,408,3,38,3117
608,294,448,3,38,4806
609,689,482,3,38,5446
610,653,509,3,38,4310
611,464,528,3,38,4843
612,510,636,3,38,7592
613,498,684,3,38,5955
614,641,693,3,38,4787
615,692,742,3,38,5458
616,688,784,3,38,4338
617,582,893,3,38,3085
618,572,946,3,38,2658
619,537,1006,3,38,2316
620,721,556,4,38,4968
621,309,893,4,38,4723
622,702,926,4,38,3445
623,586,984,4,38,2710
624,250,94,5,38,4772
625,394,578,5,38,7379
626,356,718,5,38,3460
627,765,986,5,38,3106
628,818,1010,5,38,957
629,364,378,7,38,7215
630,600,525,7,38,3970
631,674,674,7,38,5331
632,444,56,8,38,3836
633,634,345,8,38,5917
634,304,400,8,38,7192
635,713,854,8,38,5796
636,252,977,8,38,3584
637,220,6,9,38,2046
638,514,60,9,38,6701
639,557,124,9,38,7487
640,721,249,9,38,7580
641,316,550,9,38,7447
642,372,976,9,38,1649
643,426,1017,9,38,1482
644,241,1018,9,38,723
645,493,450,10,38,8638
646,502,550,10,38,3027
647,552,720,10,38,5824
648,572,761,10,38,5552
649,760,902,10,38,7061
650,405,34,11,38,3648
651,596,90,11,38,4455
652,361,152,11,38,6419
653,688,174,11,38,5463
654,426,268,11,38,3585
655,566,537,11,38,3102
656,308,653,11,38,6631
657,404,706,11,38,7899
658,354,216,12,38,6916
659,510,244,12,38,9006
660,384,476,12,38,9380
661,333,493,12,38,6816
662,384,630,12,38,3308
663,740,713,12,38,4540
664,465,878,12,38,5971
665,636,976,12,38,4506
666,328,52,13,38,6395
667,496,164,13,38,6083
668,602,169,13,38,8112
669,401,232,13,38,6055
670,626,302,13,38,7639
671,674,360,13,38,6305
672,634,568,13,38,6468
673,665,620,13,38,5960
674,621,756,13,38,6846
675,368,777,13,38,6493
676,421,838,13,38,6321
677,672,864,13,38,5558
678,328,973,13,38,2406
679,452,5,14,38,575
680,582,13,14,38,6937
681,498,17,14,38,3523
682,682,18,14,38,7483
683,236,169,14,38,7712
684,637,249,14,38,6864
685,424,354,14,38,4769
686,596,422,14,38,4736
687,690,590,14,38,4749
688,344,636,14,38,3109
689,540,678,14,38,6829
690,318,736,14,38,4582
691,610,822,14,38,5629
692,578,864,14,38,6540
693,570,272,15,38,7756
694,396,301,15,38,4292
695,442,326,15,38,3245
696,593,564,15,38,4616
697,386,912,15,38,1967
698,673,946,15,38,5294
699,330,306,16,38,4465
700,545,329,16,38,6624
701,640,402,16,38,3385
702,501,494,16,38,3372
703,624,705,16,38,3553
704,720,972,16,38,4765
705,626,53,17,38,6954
706,498,721,17,38,6851
707,376,872,17,38,5226
708,357,925,17,38,1200
709,478,925,17,38,4286
710,558,954,17,38,4130
711,602,1001,17,38,1548
712,485,97,18,38,6150
713,314,122,18,38,8130
714,253,53,19,38,5172
715,622,106,23,38,3676
716,600,145,23,38,3993
717,346,389,23,38,4654
718,677,681,25,38,2216
719,578,77,27,38,5843
