 Tal1 Dmbx1 Emx2 Uncx Paxip1 Ctnnb1 Prdm1 Rybp Nfkb2 Tfdp2 Grhl1 Sp8 Irf2 Zfp287 Esr2 Zfp128 Vav1 Sp1 Ppargc1b Sp7 Pin1 Nfya Vsx1 Klf1 Vsx2 Mybl1 Mybl2 Rnf2 Blzf1 Topors Nr3c2 Nfia Taf6l Nr4a3 Hoxd12 Hoxd13 Ttf1 Sox9 Nr2e1 Polr2b Hltf Sox6 Pbx3 Sox5 Foxa1 Cdc5l Cebpg Ciita Rest Ets1 Mafk Tbx15 Scml2 Myb Clock Rbpj Foxc1 Zfp422 Pias3 Runx1 Ppara Relb Vdr Cdc6 Arid3a Lhx1 Hoxb8 Hoxb9 Hic1 Lhx6 Six4 Hoxb3 Zfp263 Cbfa2t3 Ehf Nhlh1 Gata6 Gata4 Gata5 Lpp Nfe2l3 Nfe2l2 Tmf1 Gli1 Tbx2 En1 En2 Hnf1a Tbx4 Zfp423 Elf1 Foxb1 Elf2 Elf4 Mxd1 Wt1 Rfx4 Bhlhe41 Sox13 Taf4b Rfx2 Sox17 Ahr Sall4 Med14 Smyd1 Sall3 Arid2 Zfp64 Pgr Trps1 Hoxa1 Bach2 Bach1 Notch3 Pknox1 Pknox2 Sin3a Etv3 Smad9 Smad5 Alx1 Egf Mn1 Nkx3-1 Rbak Gabpa Nfkbiz Zscan21 Trp73 E2f7 Esrrg Rbpjl Nfatc4 Nr5a1 Neurod4 Esrrb Tbx21 Rorc Mitf Pax7 Pax6 Pax1 Pax3 Pax2 Pax9 Zkscan17 Gfi1 Mzf1 Runx3 Smarca4 Foxd4 Foxd3 Creb1 Srebf1 Sox11 Gmeb2 Irx4 Pou3f2 Ikzf1 Tcf23 Mtf2 Npas3 Nfatc3 Nfil3 Phox2b Plag1 E2f2 Ddx3x Taf2 Pou4f1 Trim33 Tsc2 Lmx1a Nr2f2 Eomes Wwtr1 Foxo1 Ar Zfp354a Elk4 Foxo4 Sall1 Mycn Maml3 Foxp3 Atm Uaca Tbr1 Pml Lhx3 Atr Zbtb33 Ptch1 Lhx5 Barhl1 Irx5 Tfap2b Tfap2e Rxra Rxrb Gli2 Gli3 Zic4 Zic5 Zic2 Zic3 Satb1 Onecut2 Foxn4 Mnat1 Foxn1 Dlx2 Vezf1 sncg sst th vip xdh slc17a8 slc5a7 slc6a3 slc6a8 smad3 opalin pdgfra palvb reln slc17a7 lyve mfge8 mog myl14 ndnf ctss foxj1 gad1 htr3a igtp acta2 alldh1l1 camk2 chat cldn5 ngef tiam1 slc1a2 gja1 fbll1
370x641 3 3 3 5 8 34 7 22 2 7 15 4 8 0 4 7 2 7 4 7 6 6 3 5 8 3 1 1 12 10 1 17 4 4 4 2 10 1 7 0 5 16 0 9 5 5 18 0 8 2 5 0 10 9 0 7 13 4 1 6 7 17 11 5 14 7 4 14 4 4 23 9 6 7 6 9 7 3 10 5 6 3 18 11 3 3 5 1 4 12 2 8 11 6 7 5 9 13 0 1 9 7 4 6 2 3 0 3 5 12 5 3 8 2 8 2 9 9 8 9 8 9 10 10 1 2 9 1 12 3 6 7 8 5 12 3 10 6 3 1 9 15 10 8 5 3 9 9 5 5 4 3 4 25 0 6 5 3 1 1 1 18 3 11 11 19 5 1 0 2 4 5 16 4 0 8 7 8 3 19 13 10 14 15 14 5 8 6 1 1 2 0 5 7 8 5 6 2 0 13 1 1 12 15 8 2 14 1 20 1 7 9 6 18 23 9 31 10 20 9 17 15 7 8 7 20 15 11 36 4 2 11 18 18 5 13 10 17 12 17 21 20 16 9 11 17 3 2 22
577x212 3 4 4 0 1 0 6 2 6 2 0 4 2 10 2 0 7 0 1 6 1 0 0 2 10 4 8 0 4 5 2 3 15 5 0 2 6 1 3 4 2 0 2 5 0 2 0 0 2 5 1 11 6 6 13 12 0 2 1 1 5 0 3 1 5 3 0 2 6 5 1 1 0 0 4 1 0 3 6 0 4 0 7 12 1 4 1 1 2 11 4 4 2 1 0 2 8 10 5 0 6 2 6 6 0 4 6 4 2 9 6 1 7 0 0 1 2 1 4 6 0 9 2 4 2 8 2 1 9 0 2 0 2 1 4 1 3 0 0 0 0 4 0 2 4 3 7 3 11 9 3 6 0 0 1 19 0 2 2 3 1 2 1 11 7 0 13 4 2 0 0 0 1 0 3 3 0 5 1 9 7 13 2 4 0 4 6 0 1 1 1 0 5 6 1 5 3 3 14 1 0 0 8 3 0 10 1 0 2 6 0 9 0 0 7 3 12 1 11 7 7 8 5 4 0 5 9 4 3 3 3 6 8 7 2 7 8 13 6 8 6 2 2 2 4 7 3 0 5
401x436 23 6 0 1 7 14 10 14 8 9 9 9 5 11 7 7 3 4 5 7 4 11 15 2 3 5 14 5 2 6 15 14 4 9 3 0 5 6 12 5 12 9 14 6 8 10 9 7 16 5 2 1 6 8 9 0 20 1 5 7 10 9 4 9 11 3 8 10 15 1 20 9 17 18 8 3 2 0 13 20 9 6 13 1 7 10 0 18 4 5 4 5 15 10 5 7 6 7 1 3 32 11 1 7 3 8 3 12 12 6 7 0 5 11 6 9 10 6 8 7 2 15 2 19 1 16 17 5 11 14 4 10 5 2 2 18 11 14 3 5 16 1 11 8 7 7 5 5 6 8 12 2 1 16 2 13 9 6 8 11 7 14 6 22 11 6 9 8 14 9 9 12 29 13 9 11 2 24 6 6 2 21 1 9 8 5 5 10 8 7 8 3 12 13 4 20 5 9 9 23 4 0 4 6 8 21 7 15 3 1 9 3 7 27 26 10 25 6 34 7 17 11 2 4 6 33 23 12 35 7 3 14 17 12 5 20 10 13 19 13 12 19 9 8 8 10 8 3 12
578x586 3 3 4 2 0 3 6 4 4 9 6 3 8 4 4 7 2 1 2 2 6 10 3 0 4 2 4 6 3 7 8 7 3 4 1 2 6 3 4 5 4 3 2 1 6 7 14 12 6 3 5 1 2 0 9 2 0 15 6 1 0 7 4 1 5 1 1 3 1 0 1 12 4 4 5 2 3 3 0 6 0 1 1 11 9 4 2 3 2 0 0 0 8 4 7 2 7 2 8 11 2 2 1 6 5 5 2 3 5 3 1 1 2 1 3 9 0 2 2 1 1 1 0 5 0 3 7 7 8 2 7 5 5 1 5 11 0 7 0 1 5 4 0 3 2 3 2 0 4 0 13 5 2 2 5 11 1 0 6 7 12 5 1 3 10 9 13 1 8 11 1 6 15 5 1 1 8 9 0 7 2 1 8 0 2 5 0 2 4 0 3 7 0 13 4 5 0 5 3 3 2 5 13 2 5 14 4 2 2 3 3 10 0 9 9 5 17 6 14 4 7 8 4 3 2 8 13 10 6 2 7 4 7 4 3 16 4 13 11 1 9 4 5 3 2 9 3 2 8
357x594 7 10 7 3 8 16 3 8 11 11 15 3 5 8 1 16 7 15 6 10 9 6 5 4 7 8 20 2 10 9 37 20 12 14 6 2 15 5 10 6 1 2 16 0 8 9 13 11 6 13 4 14 6 0 17 8 15 7 10 4 8 17 13 6 7 2 3 23 12 8 15 14 4 6 4 4 8 3 4 17 3 13 3 5 0 4 9 9 8 16 3 1 5 2 21 0 4 6 11 2 16 9 3 4 14 5 2 9 18 3 10 2 8 9 8 10 6 11 29 3 5 13 10 7 10 13 7 3 12 15 15 9 3 5 8 14 2 6 6 3 8 1 20 5 8 18 8 12 10 2 20 2 6 29 0 13 6 16 9 3 0 14 13 6 4 4 5 6 12 4 7 7 20 4 6 8 19 10 5 6 4 19 1 4 10 4 23 0 11 7 2 1 18 16 9 14 4 2 14 8 7 3 18 9 7 16 6 6 4 2 13 6 4 11 26 7 30 8 30 5 12 14 13 6 3 24 24 11 56 9 4 20 24 18 6 15 11 19 22 18 21 47 18 15 8 30 5 2 19
429x597 11 2 10 4 2 17 21 14 4 15 8 9 5 0 5 14 8 5 19 2 9 20 3 4 19 9 5 16 6 14 8 25 5 9 16 8 9 6 2 3 2 6 16 5 10 7 10 7 10 2 5 6 2 11 12 17 10 6 6 4 0 4 8 13 5 1 0 1 10 2 15 6 13 15 4 1 7 2 8 1 3 13 7 1 8 12 13 2 18 12 7 4 5 6 18 11 11 5 9 9 6 4 4 7 17 10 6 16 6 13 4 7 10 14 8 35 11 11 3 14 1 12 4 11 6 16 15 2 10 5 9 20 2 19 1 18 7 9 6 16 5 0 11 2 14 8 5 9 3 8 13 1 1 24 8 10 2 6 13 5 13 6 1 9 11 2 13 3 15 14 1 20 33 14 1 3 21 4 8 12 17 11 8 4 9 16 1 3 17 14 18 2 18 19 19 11 12 6 11 17 17 4 13 1 8 23 13 14 12 4 17 3 3 11 30 12 28 6 30 6 19 4 9 5 7 23 15 10 35 10 5 17 18 15 8 19 5 24 20 8 17 18 8 14 7 19 6 0 17
521x614 5 8 12 4 2 11 0 9 4 5 12 2 7 3 3 2 1 8 7 7 6 14 0 13 8 3 5 13 11 3 5 10 4 6 4 15 6 1 1 4 4 9 7 11 3 0 18 0 7 4 7 5 5 1 6 5 7 5 0 1 10 12 10 20 5 3 1 2 13 4 11 15 13 8 5 1 3 6 0 12 4 6 2 0 5 5 4 0 10 7 0 0 5 2 3 0 1 2 2 12 5 0 13 9 6 3 1 7 15 4 1 2 5 17 9 3 3 8 9 3 5 6 5 18 4 6 9 3 10 6 10 2 15 3 0 20 7 0 11 4 6 8 10 1 7 2 7 7 14 3 9 4 7 7 2 19 10 17 8 4 2 4 7 7 4 3 6 7 12 6 3 12 10 5 8 1 16 7 2 10 2 3 2 9 7 7 7 6 11 5 6 5 1 4 5 7 12 7 16 12 8 1 0 3 14 9 7 8 4 14 1 1 3 17 13 6 19 2 21 2 15 9 4 1 1 15 8 1 8 7 8 17 12 9 3 18 10 17 10 6 8 6 4 5 5 7 9 2 8
448x686 7 1 9 8 9 16 4 7 0 4 6 4 4 8 1 6 5 9 4 3 13 2 4 5 3 6 2 5 6 6 11 7 12 6 2 6 2 2 2 3 0 9 0 11 13 1 4 2 4 8 4 9 2 1 1 9 12 10 6 6 6 2 7 0 5 0 2 6 5 0 1 13 1 5 3 3 9 4 0 5 10 3 6 6 0 7 2 5 0 7 1 1 4 1 3 6 1 7 8 6 1 0 10 3 1 3 7 4 13 8 7 1 6 2 3 4 2 8 2 6 1 3 0 13 0 9 5 8 5 9 3 7 12 1 0 9 4 9 4 4 9 9 1 4 1 3 8 10 1 4 18 3 0 5 3 9 5 13 4 0 3 6 7 12 0 8 10 9 5 9 9 4 12 6 2 7 8 4 6 15 1 16 0 0 11 8 1 5 5 0 4 4 1 4 6 5 7 12 12 3 5 7 2 1 6 4 6 7 2 0 16 0 17 10 17 7 16 10 13 4 4 6 9 2 7 9 13 3 18 5 8 12 11 16 6 13 10 16 7 6 12 7 13 4 6 9 8 1 14
516x731 5 0 0 2 9 17 14 3 0 4 2 4 5 4 7 6 4 3 1 9 0 2 2 4 10 0 20 7 2 9 2 3 2 6 3 0 0 6 1 2 9 0 17 0 1 5 4 5 5 3 0 2 0 5 6 4 1 3 1 5 5 2 0 7 2 1 4 4 15 2 1 0 1 0 5 0 1 1 6 0 2 3 0 1 0 2 3 1 4 1 2 3 8 8 6 6 0 0 0 6 1 2 8 15 6 0 3 11 3 13 2 1 3 4 1 11 1 4 12 9 2 4 0 9 0 19 3 3 5 0 6 5 0 1 2 8 0 7 11 1 2 5 13 1 0 2 0 8 6 12 2 0 3 4 6 13 5 7 11 11 11 7 1 1 3 2 4 5 11 4 2 4 3 4 3 0 10 2 1 6 1 9 5 8 5 8 4 2 12 2 5 5 16 1 14 2 5 4 7 3 0 5 6 3 9 4 14 1 8 0 5 1 0 1 5 2 7 4 14 2 6 3 6 5 5 4 7 5 9 0 5 5 12 5 2 13 5 11 6 6 8 5 3 2 2 7 5 1 6
391x781 5 4 11 7 1 25 9 13 2 13 18 10 18 7 11 6 4 3 5 2 8 9 2 7 6 1 9 13 2 1 11 5 5 6 5 3 9 3 12 2 3 13 11 1 4 4 2 4 3 9 5 0 0 4 4 0 10 0 12 4 1 5 2 10 5 2 0 6 3 5 7 0 7 13 5 1 1 17 0 6 0 5 4 3 1 5 2 4 1 3 4 4 7 1 10 1 4 4 5 1 4 9 5 7 6 1 6 25 7 4 2 4 2 7 6 4 2 27 0 3 7 7 2 10 7 6 5 0 5 12 0 5 6 2 2 11 4 4 7 4 1 5 7 6 10 10 8 15 18 10 16 6 5 12 6 0 1 6 4 6 1 8 2 12 7 5 2 13 1 2 0 4 4 16 12 5 14 2 6 8 9 5 2 5 3 13 5 1 4 5 7 0 6 5 7 12 2 2 4 5 4 6 11 6 8 5 2 12 0 9 9 13 1 16 19 8 24 7 13 4 14 4 8 2 2 18 11 11 38 6 8 15 18 14 5 17 11 7 17 16 15 44 18 10 6 23 8 0 20
