,info,Tal1,Dmbx1,Emx2,Uncx,Paxip1,Ctnnb1,Prdm1,Rybp,Nfkb2,Tfdp2,Grhl1,Sp8,Irf2,Zfp287,Esr2,Zfp128,Vav1,Sp1,Ppargc1b,Sp7,Pin1,Nfya,Vsx1,Klf1,Vsx2,Mybl1,Mybl2,Rnf2,Blzf1,Topors,Nr3c2,Nfia,Taf6l,Nr4a3,Hoxd12,Hoxd13,Ttf1,Sox9,Nr2e1,Polr2b,Hltf,Sox6,Pbx3,Sox5,Foxa1,Cdc5l,Cebpg,Ciita,Rest,Ets1,Mafk,Tbx15,Scml2,Myb,Clock,Rbpj,Foxc1,Zfp422,Pias3,Runx1,Ppara,Relb,Vdr,Cdc6,Arid3a,Lhx1,Hoxb8,Hoxb9,Hic1,Lhx6,Six4,Hoxb3,Zfp263,Cbfa2t3,Ehf,Nhlh1,Gata6,Gata4,Gata5,Lpp,Nfe2l3,Nfe2l2,Tmf1,Gli1,Tbx2,En1,En2,Hnf1a,Tbx4,Zfp423,Elf1,Foxb1,Elf2,Elf4,Mxd1,Wt1,Rfx4,Bhlhe41,Sox13,Taf4b,Rfx2,Sox17,Ahr,Sall4,Med14,Smyd1,Sall3,Arid2,Zfp64,Pgr,Trps1,Hoxa1,Bach2,Bach1,Notch3,Pknox1,Pknox2,Sin3a,Etv3,Smad9,Smad5,Alx1,Egf,Mn1,Nkx3-1,Rbak,Gabpa,Nfkbiz,Zscan21,Trp73,E2f7,Esrrg,Rbpjl,Nfatc4,Nr5a1,Neurod4,Esrrb,Tbx21,Rorc,Mitf,Pax7,Pax6,Pax1,Pax3,Pax2,Pax9,Zkscan17,Gfi1,Mzf1,Runx3,Smarca4,Foxd4,Foxd3,Creb1,Srebf1,Sox11,Gmeb2,Irx4,Pou3f2,Ikzf1,Tcf23,Mtf2,Npas3,Nfatc3,Nfil3,Phox2b,Plag1,E2f2,Ddx3x,Taf2,Pou4f1,Trim33,Tsc2,Lmx1a,Nr2f2,Eomes,Wwtr1,Foxo1,Ar,Zfp354a,Elk4,Foxo4,Sall1,Mycn,Maml3,Foxp3,Atm,Uaca,Tbr1,Pml,Lhx3,Atr,Zbtb33,Ptch1,Lhx5,Barhl1,Irx5,Tfap2b,Tfap2e,Rxra,Rxrb,Gli2,Gli3,Zic4,Zic5,Zic2,Zic3,Satb1,Onecut2,Foxn4,Mnat1,Foxn1,Dlx2,Vezf1,sncg,sst,th,vip,xdh,slc17a8,slc5a7,slc6a3,slc6a8,smad3,opalin,pdgfra,palvb,reln,slc17a7,lyve,mfge8,mog,myl14,ndnf,ctss,foxj1,gad1,htr3a,igtp,acta2,alldh1l1,camk2,chat,cldn5,ngef,tiam1,slc1a2,gja1,fbll1
366,452x505,15,3,1,7,7,16,8,5,12,0,8,11,2,5,4,0,0,8,2,14,1,4,0,12,8,5,0,5,14,7,14,0,5,5,2,1,11,10,1,8,5,5,4,1,0,3,8,0,2,7,10,7,9,8,1,4,2,7,5,0,17,6,1,0,6,5,16,7,9,2,8,2,7,10,2,4,12,11,7,5,7,10,1,8,0,10,5,10,1,11,13,1,2,16,7,2,4,0,1,9,8,0,9,5,1,1,5,7,2,5,3,2,18,15,7,0,1,3,4,2,13,5,7,11,1,0,0,5,7,3,3,10,7,9,3,8,2,1,0,5,2,11,6,2,3,10,4,13,3,4,9,6,0,7,4,2,2,5,7,0,5,7,10,5,16,16,7,4,0,5,0,7,9,0,0,5,8,8,5,8,4,5,0,4,6,3,2,6,1,0,3,1,0,8,7,7,2,3,3,2,0,21,8,1,14,10,4,1,5,1,4,4,2,12,12,5,17,7,13,9,8,17,8,14,6,14,14,9,27,5,14,8,11,6,7,17,11,6,8,6,11,16,12,9,7,10,7,7,11
367,762x530,18,8,13,20,38,29,18,9,11,5,13,13,14,9,9,14,14,4,12,12,4,17,8,8,7,2,2,13,5,18,12,15,11,12,11,2,21,17,16,20,1,11,15,22,7,12,13,7,11,7,21,8,5,3,20,14,9,9,16,15,11,10,17,17,6,7,10,22,9,8,13,9,5,8,16,19,4,13,5,12,13,12,20,7,6,8,2,26,7,2,9,8,12,12,8,8,11,13,8,18,14,16,3,10,11,8,5,17,4,18,0,10,10,23,3,18,6,11,10,10,6,17,8,11,18,13,13,3,21,12,15,25,13,11,14,15,23,14,6,9,13,4,17,5,9,15,22,15,5,1,20,5,6,1,8,11,3,27,7,4,19,19,7,11,15,6,7,14,18,30,9,7,20,7,26,8,20,9,11,10,11,22,8,15,18,18,19,12,23,1,16,21,22,25,11,5,18,23,20,11,13,11,22,19,7,11,29,8,14,26,14,4,10,27,44,15,41,16,35,6,29,17,18,16,6,42,30,20,81,10,8,26,31,31,11,28,13,31,12,39,16,27,26,15,13,28,7,3,15
368,500x536,9,13,11,22,16,57,16,23,6,15,8,16,0,11,15,13,7,9,7,7,2,26,15,13,17,5,3,15,8,0,16,1,10,20,1,2,3,4,12,3,4,7,13,15,10,10,14,6,14,15,12,14,12,10,19,30,14,17,12,10,6,10,7,9,21,4,15,18,13,6,10,7,20,17,6,9,1,2,9,0,19,14,4,5,9,11,6,11,5,4,12,2,3,2,11,8,5,8,5,11,12,11,6,11,9,14,2,25,5,14,14,2,10,7,17,5,6,31,26,6,5,9,7,9,5,6,22,1,14,16,9,23,13,10,10,14,3,12,2,11,14,5,14,3,23,13,12,14,14,12,19,7,2,17,4,20,8,20,14,11,14,3,12,4,9,6,21,8,11,8,7,16,30,12,10,20,6,8,23,4,10,2,7,24,13,10,29,2,13,1,5,8,24,18,13,13,12,6,16,9,6,5,11,8,10,4,21,6,21,3,21,8,12,3,45,14,50,15,28,17,35,23,16,28,9,35,35,23,68,12,14,18,33,25,10,40,13,29,16,22,24,29,21,14,17,21,14,6,19
369,742x566,17,10,14,10,9,14,22,13,3,20,5,20,2,17,11,11,5,2,9,13,31,13,10,7,14,3,13,21,22,8,17,21,10,34,6,5,9,6,10,6,14,16,2,3,16,29,14,7,3,5,23,3,8,11,10,9,8,16,12,13,1,35,8,14,10,8,13,8,15,13,6,10,11,7,15,7,3,10,9,15,6,13,13,21,3,13,9,3,14,21,3,8,14,9,7,14,16,5,10,9,14,6,14,7,14,15,9,23,15,14,18,20,9,6,16,15,17,39,13,9,10,12,8,38,17,10,9,8,27,10,14,4,11,17,6,17,6,18,2,16,10,17,15,9,3,16,5,14,10,10,13,6,4,20,1,21,6,13,23,9,2,7,18,9,15,14,14,14,26,11,15,33,27,15,3,14,19,18,28,10,4,23,6,13,17,20,24,10,9,13,14,7,25,12,24,19,11,18,3,17,11,14,5,6,29,14,15,12,25,20,14,7,22,21,57,8,50,13,38,17,31,16,17,30,10,58,32,26,88,9,22,33,36,30,15,38,23,31,23,20,24,40,22,22,13,22,15,3,26
373,710x384,5,9,9,9,5,24,7,3,11,6,1,3,19,3,4,4,11,3,10,5,9,9,3,0,2,3,1,25,4,3,16,5,12,22,10,4,8,5,4,8,8,2,4,22,7,0,2,0,5,4,3,4,6,9,8,8,6,7,6,3,6,3,15,4,0,10,6,5,11,4,14,5,8,22,7,17,1,10,7,0,9,10,20,4,2,6,1,6,4,10,9,3,13,4,14,6,19,5,9,1,10,4,10,5,24,12,24,16,1,7,4,11,3,17,0,11,10,21,7,4,10,5,4,18,4,3,13,2,14,16,1,8,4,11,5,15,16,5,6,6,10,6,5,5,7,4,10,5,4,7,20,10,6,9,6,10,4,1,16,8,19,11,1,9,9,5,4,13,10,0,7,21,3,8,7,7,14,1,8,2,20,10,13,18,13,4,19,5,8,9,12,10,6,7,15,23,4,14,8,2,3,1,10,14,8,16,12,6,13,0,4,0,3,18,35,3,22,11,19,7,24,12,5,24,9,14,20,11,61,9,8,13,23,12,7,25,15,21,13,22,7,31,11,6,8,11,7,0,11
379,765x218,16,16,25,12,22,55,33,30,7,30,33,19,22,19,16,30,33,14,13,36,26,39,21,22,20,11,20,39,44,50,21,16,11,39,25,5,28,5,7,16,17,44,26,47,16,9,15,15,23,12,34,28,17,17,21,13,22,16,20,10,17,19,17,23,19,21,18,13,27,19,16,26,20,23,33,11,42,14,17,19,13,20,25,12,8,12,19,14,35,22,15,19,24,6,18,12,19,24,23,7,14,19,21,27,33,27,21,35,13,16,30,26,23,19,13,16,8,23,12,9,25,34,18,10,20,17,24,12,24,39,26,27,29,22,15,17,16,19,7,11,15,21,27,22,19,25,16,37,22,13,42,43,11,32,13,20,18,18,21,16,40,17,5,20,3,15,10,17,18,22,21,30,22,26,16,15,17,14,25,26,13,14,4,20,28,22,13,11,7,14,21,17,34,42,28,12,25,30,17,17,13,19,39,14,24,13,26,11,40,40,11,9,7,26,78,17,82,22,77,18,44,36,36,59,22,56,68,52,109,23,24,39,56,44,23,66,27,50,40,32,34,42,44,26,16,35,19,6,38
380,726x497,11,8,14,7,17,46,17,30,0,5,17,7,11,8,5,9,8,5,14,20,9,8,6,12,13,14,10,5,20,7,26,9,2,10,18,2,9,4,6,15,12,8,5,33,2,23,5,13,14,21,17,28,14,10,13,24,4,10,5,17,5,9,12,8,12,6,14,21,8,16,7,7,6,5,16,7,2,13,7,5,13,13,12,11,13,10,6,7,9,5,7,9,5,17,7,11,5,7,12,12,14,11,13,12,34,13,11,7,10,11,7,9,4,10,2,7,9,3,9,10,2,12,5,11,6,17,33,14,29,16,11,12,9,19,19,0,3,11,2,14,15,13,17,11,12,16,18,8,19,12,17,5,13,14,9,19,14,4,24,6,7,15,16,5,15,6,13,7,13,8,8,27,20,6,8,6,5,20,18,9,9,1,20,5,5,29,19,17,14,13,7,17,6,27,15,7,23,10,17,7,21,8,23,10,2,12,10,7,5,11,10,4,5,22,71,13,54,17,43,18,39,23,16,25,13,36,36,32,45,7,24,32,38,33,14,33,29,43,26,15,34,28,29,17,10,26,6,1,26
384,717x625,11,8,8,11,12,33,18,14,15,20,9,7,25,31,10,3,12,9,7,23,30,23,25,9,16,13,10,16,19,32,33,11,10,33,14,4,9,10,16,21,2,38,7,24,11,20,26,17,13,19,18,11,6,8,19,22,2,9,19,8,5,11,8,22,9,9,10,28,11,7,13,15,8,13,11,5,12,9,10,20,23,9,5,9,14,14,2,12,17,24,13,1,10,13,17,11,9,14,7,10,26,10,13,21,23,9,6,7,9,12,8,3,16,15,12,17,7,20,10,13,4,10,21,26,17,21,8,5,21,19,21,8,16,38,12,30,9,5,6,7,9,7,3,9,0,22,9,33,7,16,31,1,18,22,6,20,4,10,27,3,5,8,18,2,2,1,13,12,12,21,14,9,13,22,12,11,3,10,17,18,15,8,5,4,2,12,17,11,6,8,11,21,17,14,24,4,11,24,14,6,11,15,26,9,13,14,4,11,12,9,27,6,11,11,52,12,43,18,31,14,34,24,17,31,9,35,35,33,61,13,14,22,30,30,15,41,20,31,14,19,33,32,25,18,11,26,5,6,20
385,436x706,18,8,29,17,19,33,24,20,4,9,15,21,7,4,7,16,7,13,16,35,11,9,9,8,15,7,8,10,7,8,9,44,13,17,11,1,15,34,10,22,10,29,18,19,13,14,5,12,28,15,18,19,24,9,7,33,21,5,5,9,13,21,28,21,4,8,15,6,12,9,14,24,16,3,16,14,20,7,9,8,13,8,18,8,16,4,5,9,12,20,12,4,18,12,17,8,22,15,8,12,16,18,20,9,22,29,14,20,10,21,34,4,16,12,15,15,13,8,17,5,24,12,5,16,17,10,8,12,20,5,9,8,15,19,13,26,8,16,8,13,9,17,11,6,12,1,18,18,19,25,24,5,14,23,27,27,16,14,24,12,1,6,20,8,20,17,19,10,46,20,6,9,20,6,10,20,10,30,29,19,22,6,8,11,21,15,28,4,14,9,8,5,30,27,7,13,22,7,12,22,15,18,30,14,31,14,13,17,25,9,25,17,5,26,50,10,52,26,42,16,29,29,21,37,14,39,37,37,49,9,63,21,31,20,11,45,17,37,28,29,39,35,47,21,6,20,88,48,17
387,552x433,24,11,15,21,27,64,14,24,12,27,34,15,13,21,14,21,12,40,14,20,31,14,11,14,17,16,14,7,23,20,31,28,15,24,26,13,25,21,21,21,10,24,16,31,21,12,19,14,24,13,24,14,18,12,21,25,12,23,17,19,13,10,19,23,32,4,16,32,17,26,15,23,25,47,10,12,3,25,24,17,8,17,16,8,17,27,15,18,20,21,9,3,28,10,26,8,11,5,25,18,14,7,21,20,25,18,9,21,11,19,15,9,22,14,34,20,24,16,11,17,19,24,7,21,3,27,15,23,39,21,7,28,13,9,28,22,15,21,8,4,17,20,17,15,27,40,7,24,27,2,29,5,17,24,9,21,19,21,11,10,24,28,21,15,12,21,11,30,15,30,16,13,32,14,9,17,26,21,38,10,24,20,12,3,13,21,23,13,16,9,11,18,30,20,34,12,21,20,19,27,16,9,29,37,20,27,31,17,21,18,16,4,12,24,95,15,83,27,43,21,50,34,36,59,6,68,62,46,92,13,22,31,40,35,22,58,37,50,41,32,46,58,45,25,22,39,12,5,14
