,x,y,z,field,total_count
2774,330,773,1,51,4878
2775,302,821,1,51,4835
2778,366,582,2,51,4217
2780,341,629,2,51,4283
2781,450,662,2,51,5433
2785,306,521,3,51,3533
2786,514,730,3,51,5426
2790,630,284,4,51,1196
2791,574,426,4,51,9587
2792,314,481,4,51,1000
2794,665,301,5,51,1069
2795,508,316,5,51,5290
2796,710,377,5,51,4160
2797,456,778,5,51,11789
2798,691,300,6,51,2884
2799,322,495,6,51,2742
2800,289,510,6,51,1206
2804,429,281,7,51,6550
2805,522,430,7,51,5796
2806,610,574,7,51,10360
2809,601,234,8,51,3207
2810,541,281,8,51,5537
2811,476,596,8,51,7898
2812,248,641,8,51,6470
2813,318,652,8,51,5124
2815,453,702,8,51,8821
2819,557,530,9,51,10610
2822,550,217,10,51,2878
2823,605,324,10,51,2926
2824,350,340,10,51,2536
2825,438,497,10,51,9022
2826,224,560,10,51,3873
2827,545,606,10,51,8299
2828,654,689,10,51,8579
2830,380,356,11,51,2779
2831,402,386,11,51,3502
2832,494,400,11,51,4120
2833,364,402,11,51,4066
2834,277,464,11,51,3019
2835,228,725,11,51,8088
2841,508,641,12,51,9035
2842,392,813,12,51,7673
2845,620,384,13,51,9428
2846,278,528,13,51,2698
2847,382,753,13,51,10144
2850,433,337,14,51,3549
2851,625,344,14,51,2301
2852,320,388,14,51,2585
2853,409,464,14,51,6487
2854,297,483,14,51,1649
2855,524,728,14,51,9088
2858,486,222,15,51,4943
2859,676,745,15,51,10599
2860,244,809,15,51,4622
2864,622,258,16,51,2286
2865,585,802,16,51,15088
2867,560,241,17,51,2128
2868,389,550,17,51,6957
2869,332,760,17,51,7051
2872,658,285,19,51,2573
2873,509,393,19,51,4836
2874,492,449,19,51,7184
2875,410,616,19,51,5817
2877,678,308,21,51,911
2878,637,321,21,51,1163
2879,265,506,21,51,1794
2880,549,558,21,51,6734
2881,446,604,21,51,4688
2882,576,370,22,51,6827
2883,318,461,22,51,4995
2884,426,550,22,51,6992
2885,281,633,22,51,7372
2886,340,664,22,51,5962
2887,445,678,22,51,5859
2888,533,602,26,51,2995
2889,345,704,29,51,7632
