"","AFAP1","AFF4","AGAP1","AGO3","AGPS","AHDC1","AKAP11","ALPK2","AMOTL1","ANKH","ANKRD52","ARL10","ASCC3","BRCA2","BSN","BUB3","Blank.1","Blank.10","Blank.2","Blank.3","Blank.4","Blank.5","Blank.6","Blank.7","Blank.8","Blank.9","C14orf132","C17orf51","CBL","CBX5","CCDC113","CDYL2","CEMIP","CENPF","CEP250","CHST3","CKAP5","CNR2","COL5A1","CREBBP","CRTAP","DIEXF","DIP2B","DNAJC13","DOPEY1","DSEL","DYNC1H1","EGFR","FAF2","FAM184B","FAM208B","FASN","FBN1","FBN2","FYCO1","FZD4","FZD5","GPR107","GTF3C4","HEATR5B","HERC2","IGF2R","IL17RA","ITPR2","KIAA1147","KIAA1462","KIF13B","KLHL9","KPNA4","LMTK2","LRP1","LUZP1","MALAT1","MAN1A2","MCF2L","MED14","MYH10","NHSL2","NKTR","NOTCH2","NRIP1","PAPPA","PHIP","PIK3CA","PLXNA1","PLXNA2","POLQ","PRDM2","PRKCA","PRKDC","PROSER1","PRPF8","PRRC2B","PTPN14","RAB3B","RAD51D","RBM20","RNF152","RNF169","RP4.671O14.6","SAMD12","SCUBE3","SIPA1L3","SKP1","SLC35B4","SLC38A1","SLC5A3","SLC7A11","SLC9A2","SMARCA5","SMIM5","SOD2","SPTBN1","SRRM2","SSH1","STARD9","SULT1C2","THBS1","THSD4","TLN1","TMOD2","TNRC6A","TPR","TSPAN3","TSTD2","TTPAL","UBR2","UBR5","UMPS","USP24","USP34","USP8","USP9X","VPS13D","XDH","XKR5","YIPF4","ZBTB43","ZCCHC6","ZNF592"
"-438.999142512078 x -312.475845410628",5,11,10,1,5,5,4,6,8,1,7,6,4,2,3,3,2,5,1,1,1,4,3,2,1,2,6,4,4,8,6,4,2,0,3,5,5,6,6,8,5,8,5,4,1,1,8,5,3,9,5,14,3,4,4,10,5,13,4,3,7,5,2,3,3,2,7,4,3,4,10,6,44,12,4,5,9,3,4,6,4,4,6,8,9,1,3,13,11,10,5,19,6,7,5,1,5,3,6,6,6,6,6,2,0,6,1,5,1,10,7,2,15,20,4,6,6,55,4,21,0,3,5,3,4,2,2,5,2,4,12,6,11,4,8,3,1,6,2,3
"-437.428581687612 x -334.316858168761",2,1,5,3,2,5,2,6,5,0,2,2,4,4,0,2,1,4,4,3,1,4,7,4,1,3,5,2,8,3,3,1,0,1,2,7,4,3,11,3,2,3,7,4,3,5,3,2,2,6,5,10,6,10,1,4,3,3,2,2,2,4,5,6,5,7,3,6,2,3,7,2,41,4,1,1,5,2,3,1,2,2,0,2,10,3,3,7,5,9,3,7,7,8,4,3,3,3,6,2,3,6,1,3,0,1,2,1,1,4,6,5,6,6,4,8,1,6,3,8,1,5,5,1,4,1,2,5,1,8,12,1,8,3,3,1,2,0,2,5
"-432.65661810614 x -438.886659729449",6,12,20,4,8,1,9,4,10,5,15,7,4,5,6,5,4,2,4,1,2,4,4,1,4,5,8,2,7,10,2,7,6,3,3,6,6,5,20,8,4,4,6,1,1,3,14,4,6,5,7,10,12,28,8,7,0,3,9,4,20,4,8,2,4,8,2,7,5,4,12,7,86,7,3,7,14,3,8,8,4,4,2,1,5,5,4,14,3,15,7,9,12,8,7,2,0,4,3,1,1,7,4,0,2,6,5,5,3,11,2,5,24,12,5,10,1,21,4,20,1,5,8,4,2,5,3,3,5,6,11,2,12,4,4,4,5,3,4,12
"-429.781787965617 x -411.289793696274",6,11,11,9,9,10,14,17,9,5,38,4,17,6,9,7,6,7,3,5,9,9,6,5,2,5,13,15,14,10,8,13,11,3,5,14,11,14,44,17,17,7,18,12,4,3,25,5,11,14,11,26,15,36,11,15,10,11,12,4,20,7,8,7,12,16,3,12,16,15,21,20,95,20,10,15,15,13,7,21,11,9,6,6,6,10,8,16,9,38,12,14,26,19,4,7,10,8,10,5,6,6,4,7,2,11,10,9,5,15,11,8,37,22,9,11,8,11,12,33,2,13,15,11,7,12,3,17,6,5,23,3,21,11,16,14,9,7,18,10
"-412.916125108601 x -358.068635968723",5,12,16,7,10,8,6,7,17,3,16,6,2,2,3,6,2,3,2,5,4,1,1,3,3,3,5,5,10,13,1,10,4,18,5,11,7,7,12,26,6,5,13,7,1,3,8,6,8,5,8,23,6,19,3,9,2,4,12,4,9,1,3,3,9,5,3,5,6,10,13,9,43,3,3,8,20,6,7,13,5,2,3,2,11,2,5,15,6,41,6,23,14,14,7,6,2,4,4,2,6,5,3,2,2,2,5,4,3,10,7,3,24,14,6,3,8,84,3,28,2,7,9,2,4,14,5,13,3,6,17,1,15,8,4,1,2,5,15,4
"-410.738893414799 x -310.591167684996",8,10,14,4,12,20,12,8,18,4,19,7,7,3,8,7,9,6,6,3,8,4,3,11,2,5,8,9,8,16,6,7,3,3,6,16,11,9,31,17,13,7,12,9,2,4,10,1,13,4,12,31,5,24,4,12,2,10,9,18,6,12,4,7,7,9,9,6,6,12,9,16,65,9,5,3,15,10,8,7,6,4,8,4,14,6,3,26,14,29,9,22,13,12,6,8,17,11,13,3,4,10,7,5,6,5,5,17,13,21,12,9,21,18,14,7,8,47,2,32,3,8,22,3,4,8,4,11,6,11,18,7,26,3,11,7,3,12,9,11
"-404.533223487118 x -388.6584182145",7,28,16,7,4,11,17,9,11,3,16,7,14,8,9,5,1,9,4,3,2,5,8,2,3,7,13,7,14,10,6,12,7,11,6,18,12,6,40,20,15,8,19,10,13,5,11,6,9,9,12,20,9,17,8,13,12,12,14,4,13,9,12,9,15,5,9,9,5,11,15,22,52,14,5,9,20,7,10,18,5,7,18,7,8,5,9,16,20,25,10,26,19,17,4,6,9,5,10,6,11,3,8,7,6,4,7,11,3,16,13,8,39,28,12,12,7,98,9,36,4,9,15,4,9,15,3,21,3,9,17,11,15,7,6,10,11,10,13,14
"-406.591446945338 x -334.700021436227",2,11,6,1,6,9,7,4,18,6,8,3,4,6,7,7,2,4,3,1,2,4,4,5,1,3,9,2,6,13,3,3,6,7,6,7,8,2,17,14,3,5,9,5,3,3,16,3,6,2,6,15,2,21,6,9,4,10,8,3,9,5,5,8,7,4,4,3,2,11,15,6,44,4,1,5,15,4,7,10,6,1,2,3,10,3,2,10,4,17,2,14,9,12,3,7,5,4,12,4,0,8,1,3,1,2,6,4,3,9,0,7,16,11,4,6,4,17,2,23,3,7,10,3,4,8,4,11,4,6,16,6,9,4,5,2,6,6,12,5
"-395.142241871079 x -430.60819167142",21,15,13,3,17,19,10,18,14,5,16,4,7,7,15,7,4,10,2,6,3,4,9,6,6,2,8,2,9,20,12,12,5,11,11,24,13,7,22,11,14,5,13,10,7,10,24,9,3,13,3,28,5,37,4,15,11,11,9,12,17,10,11,2,17,10,9,16,13,10,12,14,135,8,6,16,17,10,14,14,7,12,9,1,18,6,10,11,27,39,6,14,21,16,5,13,9,4,8,7,4,11,8,7,7,7,14,11,2,18,13,9,43,15,6,11,11,41,9,36,3,14,13,7,9,2,5,10,11,12,32,6,20,17,7,6,6,6,14,13
"-442.326329305136 x -158.926027190332",5,9,5,4,2,14,4,3,9,4,6,0,4,4,7,1,3,3,5,1,1,2,3,8,1,5,6,5,7,5,1,6,4,1,3,10,7,3,5,9,4,0,18,3,5,0,12,1,1,1,5,9,1,11,1,3,1,1,6,1,9,4,5,2,4,3,2,3,2,3,17,8,28,2,1,5,7,6,4,8,5,3,4,4,3,0,1,6,9,4,5,6,9,8,4,3,7,3,4,1,2,4,1,0,1,2,2,5,2,11,2,3,12,12,4,7,0,21,0,20,2,1,6,0,4,4,0,4,1,3,5,7,11,1,1,3,1,5,5,6
