x,y,z
490,760,2
432,722,3
250,740,3
352,754,4
820,244,5
262,468,5
752,690,5
700,716,5
732,724,5
234,558,6
390,582,6
646,636,6
614,704,6
546,766,6
360,588,7
710,420,8
780,342,9
542,424,9
554,714,9
466,564,10
468,476,11
430,484,11
268,634,11
714,592,12
256,702,12
464,702,12
692,328,13
790,560,13
554,638,13
492,642,13
598,668,13
380,672,13
500,814,13
232,440,14
698,546,14
646,576,14
610,608,14
340,708,14
302,496,15
566,536,15
692,376,16
566,440,16
736,458,16
780,508,16
750,540,16
534,586,16
476,448,17
624,500,17
734,326,18
768,380,18
298,666,18
344,568,19
342,628,19
296,590,20
806,432,21
732,508,21
438,546,21
604,444,23
362,744,23
417,376,2
433,453,2
541,470,2
229,474,2
341,484,2
449,568,2
341,664,2
712,721,2
428,228,3
746,249,3
786,493,3
425,524,3
753,556,3
265,441,4
602,480,4
610,358,5
378,390,5
653,528,5
338,344,6
749,466,6
688,549,7
301,506,8
697,629,8
728,648,8
764,666,8
749,697,8
689,304,9
562,361,9
738,378,9
277,618,9
373,641,9
810,445,10
524,554,10
617,648,10
258,736,10
306,562,11
374,589,11
277,676,11
220,769,11
669,237,12
544,298,12
352,508,12
730,514,12
700,594,12
333,701,12
309,453,13
401,481,13
470,556,13
462,268,14
654,377,14
368,460,14
485,472,14
573,506,14
609,565,14
652,616,14
433,656,14
814,284,15
774,633,15
666,338,16
731,430,16
710,752,16
522,500,17
429,572,17
326,625,17
725,274,18
476,598,18
440,618,18
344,400,19
708,473,19
660,438,20
785,568,20
776,513,21
388,437,22
727,449,22
450,493,22
314,674,25
656,212,27
664,492,2
632,533,2
308,737,2
802,210,3
767,292,3
815,306,3
754,330,3
749,377,3
389,477,3
520,681,3
208,686,3
490,344,4
277,641,4
745,220,5
699,347,5
686,419,5
600,464,5
650,229,6
780,382,6
472,443,6
523,476,6
446,540,6
664,628,6
569,386,7
300,606,7
646,606,7
298,629,7
500,741,7
462,774,7
515,449,8
536,525,8
248,613,8
480,580,9
694,297,10
620,383,10
301,778,10
681,377,11
489,389,11
416,517,11
678,542,11
441,612,11
560,644,11
257,677,11
358,766,11
630,256,12
739,417,12
567,419,12
598,568,12
538,594,12
394,638,12
373,720,12
420,782,12
408,469,13
241,777,13
768,253,14
608,518,14
332,598,14
524,713,14
484,448,15
342,488,15
498,548,15
410,681,15
761,302,16
630,426,16
644,598,16
466,478,17
310,716,19
755,269,20
750,356,20
539,382,20
593,467,21
470,714,21
422,736,21
277,784,21
388,808,22
444,816,22
633,273,23
694,320,23
702,376,26
516,705,28
452,505,2
762,530,2
500,536,2
742,566,2
710,384,3
765,218,4
726,497,4
717,625,5
436,706,5
552,433,7
757,485,7
466,666,7
546,676,8
800,309,10
633,437,10
285,724,10
578,738,10
673,286,11
633,325,11
672,361,11
730,584,11
637,737,11
768,366,12
597,473,12
552,618,12
352,710,12
753,273,13
570,566,13
418,758,13
452,817,13
528,536,14
664,772,14
604,625,15
380,685,15
694,685,15
466,772,15
717,322,16
756,633,16
521,570,17
690,629,17
318,765,17
400,794,17
501,716,18
342,808,18
726,385,19
789,624,19
416,670,19
638,477,20
716,494,20
772,549,20
496,806,20
794,496,21
560,749,21
578,597,22
753,242,25
760,314,26
552,798,27
509,256,1
406,268,1
341,638,1
313,764,1
652,268,2
432,293,2
652,320,2
640,357,2
430,410,2
357,425,2
609,426,2
770,438,2
676,502,2
449,764,2
446,798,2
700,212,3
610,241,3
518,336,3
325,418,3
461,272,4
750,368,4
777,258,6
624,590,6
702,288,7
318,537,7
697,378,8
802,529,8
734,604,8
404,676,8
422,600,9
612,293,10
546,409,10
509,537,10
674,577,10
630,658,10
526,668,10
730,265,11
718,334,11
348,501,11
802,586,11
669,442,12
440,448,12
816,476,12
762,490,12
445,722,12
446,357,13
380,420,13
614,440,13
726,449,13
420,521,13
594,692,13
281,776,13
497,470,14
588,512,14
553,725,14
366,461,15
554,498,15
630,337,16
692,412,16
565,562,16
602,608,16
504,618,16
377,808,16
361,216,17
477,349,18
481,805,18
438,812,18
272,817,18
576,625,20
817,533,25
558,813,25
326,817,25
480,784,2
596,794,2
373,800,2
620,262,3
512,301,3
310,302,3
506,362,3
713,384,3
674,408,3
294,448,3
689,482,3
653,509,3
464,528,3
510,636,3
498,684,3
641,693,3
692,742,3
688,784,3
721,556,4
394,578,5
356,718,5
364,378,7
600,525,7
674,674,7
634,345,8
304,400,8
721,249,9
316,550,9
493,450,10
502,550,10
552,720,10
572,761,10
426,268,11
566,537,11
308,653,11
404,706,11
354,216,12
510,244,12
384,476,12
333,493,12
384,630,12
740,713,12
401,232,13
626,302,13
674,360,13
634,568,13
665,620,13
621,756,13
368,777,13
637,249,14
424,354,14
596,422,14
690,590,14
344,636,14
540,678,14
318,736,14
570,272,15
396,301,15
442,326,15
593,564,15
330,306,16
545,329,16
640,402,16
501,494,16
624,705,16
498,721,17
346,389,23
677,681,25
699,587,1
743,668,1
692,729,1
704,415,2
629,473,2
476,590,2
756,774,2
593,806,2
486,413,3
743,574,3
622,657,3
656,602,6
517,682,6
524,756,6
696,758,7
411,550,8
538,235,9
627,241,9
609,431,9
481,243,10
509,503,10
800,786,10
583,367,11
409,476,11
560,507,11
457,512,11
765,512,11
479,533,11
523,774,11
653,792,11
458,280,12
672,324,12
683,564,12
518,616,12
702,687,12
559,287,13
637,301,13
705,319,13
438,337,13
677,384,13
744,553,13
404,651,13
412,724,13
439,381,15
645,510,15
512,650,15
640,694,15
603,722,15
366,732,15
462,748,16
742,458,17
406,505,17
479,695,17
733,790,17
726,395,18
644,648,18
751,654,18
441,696,18
382,790,18
786,490,19
674,775,19
702,531,20
411,580,20
731,606,21
378,678,22
510,373,1
557,441,1
354,320,2
237,478,2
402,665,2
468,677,2
529,724,2
249,540,3
644,657,3
532,286,6
658,446,6
685,778,6
504,792,6
605,210,7
445,304,7
714,362,7
260,676,7
606,786,7
692,576,8
600,589,8
681,700,8
378,760,8
329,786,8
474,276,10
412,297,10
404,393,10
438,398,10
345,402,10
456,458,10
301,460,10
758,758,10
752,226,11
512,340,11
758,340,11
457,353,11
276,422,11
637,514,11
441,784,11
417,208,12
317,221,12
389,248,12
446,252,12
670,256,12
592,276,12
597,330,12
376,441,12
392,494,12
737,722,12
762,268,13
714,304,13
658,337,13
620,376,13
478,506,13
477,633,13
404,716,13
622,353,14
711,451,14
598,476,14
562,540,14
473,320,15
272,362,15
640,564,15
738,673,15
549,708,15
642,754,15
570,802,15
465,817,15
528,462,16
305,585,16
260,624,16
293,673,16
510,682,16
349,810,17
634,290,18
345,297,18
704,676,18
648,710,18
425,774,18
530,510,19
726,798,19
700,760,20
701,273,21
565,237,22
245,505,22
772,809,23
254,413,24
692,661,27
444,342,1
462,404,1
442,438,1
802,646,1
456,684,1
206,722,1
296,774,1
610,782,1
457,794,1
741,809,1
820,446,2
278,456,2
406,278,3
344,513,3
360,561,3
349,578,3
494,682,3
413,390,4
277,426,4
554,477,4
605,482,4
240,654,4
364,720,4
484,518,5
396,634,5
420,734,5
797,428,6
569,624,6
590,694,6
205,357,7
236,450,7
265,584,7
214,588,7
721,628,7
306,644,7
785,782,7
261,502,8
749,597,8
260,689,8
777,689,8
513,304,9
448,310,9
340,680,9
520,762,9
428,232,10
314,280,10
282,373,10
397,481,10
630,533,10
409,773,10
292,234,11
294,322,11
346,338,11
697,690,11
429,580,12
336,592,12
545,696,12
258,761,12
242,357,13
656,472,13
205,509,13
725,528,13
740,554,13
597,598,13
738,646,13
708,738,13
329,744,13
638,761,14
238,242,15
488,381,15
328,404,15
682,565,15
425,656,15
537,381,16
204,444,16
722,465,16
758,465,16
796,500,16
637,706,16
361,265,17
553,501,17
777,600,17
238,278,18
669,526,18
345,228,19
377,306,19
673,485,19
802,777,19
722,808,19
445,276,21
561,452,21
270,394,25
752,550,26
451,223,1
429,392,1
294,410,1
259,485,1
426,488,1
811,662,1
593,715,1
559,780,1
382,808,1
389,222,2
220,244,2
350,266,2
600,338,2
222,456,2
688,473,2
430,577,2
415,627,2
279,632,2
785,667,2
694,340,3
726,357,3
777,513,3
525,725,3
683,796,3
420,258,4
350,418,4
569,599,4
347,749,4
636,389,5
592,516,5
387,364,6
635,479,6
226,535,6
371,701,6
283,523,7
471,386,8
654,563,8
656,624,8
317,630,8
489,289,9
236,348,9
576,423,9
607,597,9
536,625,9
467,718,9
646,779,9
303,213,10
269,310,10
562,319,10
642,520,10
400,521,10
244,568,10
776,789,10
737,476,11
734,521,11
333,672,11
710,720,11
337,233,12
335,315,12
391,344,12
543,393,12
336,468,12
758,604,12
388,781,12
366,333,13
400,405,13
546,819,13
698,368,14
595,465,14
