,gene,fdr,counts
0,GAPDH,1.5728301443184598e-05,4
1,COL6A3,0.00043599439409289074,4
2,C4B,0.003531704145162471,3
3,METRN,0.00039566298222690254,4
4,RPL13,1.4512936102113069e-06,4
5,RPL30,0.0009755136626466225,4
6,C4A,0.0006645311960619978,3
7,MGP,0.0001792669003427738,3
8,MIF,0.0003799586920209553,3
9,SFRP2,4.182652160918728e-06,3
10,RPS5,1.1354939174516667e-05,4
11,RPL36,8.346773212884403e-06,4
12,CD63,0.0009415124236760039,4
13,POSTN,3.6805291161143467e-08,4
14,RPLP2,0.00013667306172173745,4
15,SPINT2,0.017296368639266063,4
16,ROMO1,1.7234911311507056e-05,4
17,XBP1,4.3467403249990504e-05,4
18,RPL3,1.1327255821724185e-05,4
19,RPL8,0.0005711139177871242,4
20,SCAND1,0.00016568010225491872,4
21,RPL35,0.0004428553503634922,4
22,PRSS23,5.159109404827826e-05,4
23,RPN2,0.0020717244054857947,4
24,RPS18,9.23629192922204e-06,4
25,RPL37A,0.00022497921835509,4
26,RPL19,0.025917555881978444,4
27,HLA-B,0.0004397584399760763,4
28,GNB2L1,0.0003124745855046092,4
29,GRINA,0.00012445492188828514,4
30,GNAS,7.900261821217667e-05,3
31,KRT18,0.0005396040077265928,4
32,SPARC,4.3844009767797794e-06,4
33,COL12A1,2.0886096230890254e-07,4
34,RPLP0,0.00013399874745060396,4
35,RPS19,0.0014549868329977284,4
36,ANXA2,0.0003600063921013607,4
37,RPL10,0.008963802910675306,4
38,COL3A1,8.59853329858057e-11,4
39,RPS27,0.0013457791048702911,4
40,RPS12,0.003251340733671838,4
41,RPL41,0.00043752648080329625,4
42,FXYD3,6.294031431740673e-05,4
43,FN1,1.1787114482354765e-09,4
44,RPLP1,0.0006408256888185733,4
45,B2M,1.1354939174516667e-05,4
46,RPS9,1.7234911311507056e-05,4
47,TMSB4X,0.00043599439409289074,4
48,EEF1A1,0.00018606997595404409,4
49,ALDOA,0.0010069349152513564,3
50,RPS14,0.00056836274715228,4
51,LDHA,0.00012445492188828514,4
52,HSP90AA1,0.0011677750350606506,4
53,RPS15,0.00011448731550713357,4
54,RPL18A,8.346773212884403e-06,4
55,PPP1R1B,0.0002427771287072064,4
56,UBA52,0.00034846603020119286,4
57,FTL,0.0004562226789510131,4
58,RPL27A,0.0010069349152513564,4
59,RPL29,7.910063235267307e-05,4
60,RPL21,0.02033712293888289,3
61,CTSD,5.391121395049381e-05,4
62,COL1A2,1.0006796649761011e-08,4
63,RPL28,2.9019069314758612e-05,4
64,PSMD8,0.0131833116410078,4
65,CERS2,0.0005175263724386336,4
66,RPS17,0.004783537631150103,4
67,COL1A1,2.992908605650178e-08,4
68,APOE,0.00045512112917468723,3
69,CST4,1.84968236854044e-05,4
70,RPS11,0.00033819856216275873,4
71,VIM,0.0029598316613670484,4
72,RPL5,0.0015471537977229178,4
73,HLA-DRA,5.00466703304541e-05,4
74,MMP11,0.0009415124236760039,3
75,LUM,1.3948439598765168e-07,4
76,HTRA1,1.1354939174516667e-05,3
77,COX6B1,0.00039429278778083625,3
78,KRT19,0.003884415535361653,3
