,gene,fdr,counts
0,Lix1,0.00045479816591205137,10
1,Nap1l1,0.0020454362198243053,10
2,Slc1a3,0.00014737904651341345,12
3,2010300C02Rik,1.2453968824686245e-05,12
4,Sh3glb2,0.0009070307554531948,8
5,Kalrn,0.00013163070683577848,11
6,Mtss1l,0.0009223279622378133,10
7,Fam213a,0.0008019673919629341,11
8,Elavl3,0.0007182343913481439,10
9,Kcnj4,6.5217816735373576e-06,12
10,Atp5b,0.00015365087076463392,9
11,Add1,0.002598383770925446,6
12,Hlf,0.002343717982803676,7
13,Kif1b,0.00031435670544993936,8
14,Pcp4,8.406385250781369e-07,12
15,Nap1l5,0.000586041126313394,11
16,Inpp5j,9.049300485976891e-06,11
17,Atcay,8.238672279542248e-05,6
18,Eif4a1,0.0012665748294989321,8
19,Dlgap1,9.720709974800445e-05,10
20,Arhgap5,6.867820449482637e-05,10
21,Apc,1.7629729610321876e-05,9
22,Btbd3,0.0020351161878055623,11
23,Tmem30a,0.003408772702641733,8
24,Vdac1,0.0007308260200330921,8
25,Ctsb,0.0004869256884104469,11
26,Dclk1,1.5783219155961165e-05,12
27,Ube2ql1,4.285204522655398e-06,12
28,Kif2a,5.8919307608196716e-05,11
29,Ank3,0.0008681023660093708,12
30,Nfia,0.0012598962189563495,10
31,Gm13889,4.177791013717296e-05,12
32,Hnrnph2,0.003019997848198932,6
33,Rps4x,0.0021411495823879115,8
34,Map2,0.001008454879406751,12
35,Calm2,5.791873309233126e-07,12
36,Cacnb4,0.0010101106312596477,10
37,Bcl11b,8.168156522308885e-05,12
38,Cdk17,0.0005909790115683875,10
39,Ank2,0.004157747725345345,9
40,Gabra5,7.705148009936485e-05,8
41,Cpne6,2.856719111064604e-05,10
42,Dlx6as1,0.0010176460135136974,7
43,Abl2,0.0001537097803643498,11
44,Myt1l,7.527367414772695e-05,7
45,Grin1,1.8727286965056344e-05,12
46,Rgs12,0.00020393146830084924,7
47,Psd,9.916311548619367e-05,12
48,Atp6v0b,0.003078793480236089,6
49,Pkig,4.1673777494367694e-05,9
50,Btbd1,0.0016209440830504515,8
51,Ogt,0.0015442972208636178,8
52,Tenm3,0.0002608060236491839,10
53,Sez6,3.122292864480728e-06,12
54,Ncor1,0.004061976087993911,6
55,D4Wsu53e,0.0002205529739994205,8
56,Gabra1,2.607475198480305e-05,10
57,Tubb2b,1.5348981568628528e-05,11
58,Prkcb,0.00018305382858752216,11
59,Gpm6b,5.712925018632532e-05,12
60,Nisch,0.00224922725690535,7
61,Eps15,0.0008942671363773812,6
62,Dctn2,0.004255299357647755,6
63,Rasgef1a,3.122292864480728e-06,12
64,Doc2g,5.40014568458591e-07,12
65,Rpl8,0.0009694735516510543,6
66,Hnrnpa2b1,0.0008019673919629341,7
67,Rbfox3,3.0964227091694907e-06,12
68,Atp6v1b2,0.0038305524603774507,11
69,2310022B05Rik,0.00084834054806937,6
70,Sparcl1,5.570732743683294e-07,12
71,Mef2c,0.0006747072779153335,11
72,Ndufb10,0.0031182251005986237,6
73,Id2,0.0007761426377859686,9
74,Gng4,1.2828189286329112e-05,11
75,Eno2,0.00027162311794108417,11
76,Rpl15,0.008983523729061528,7
77,Ptov1,0.00043340726194753297,7
78,Rasgrf2,9.933164058877464e-05,8
79,Eif5a,0.0027563364126480376,8
80,Meis2,5.790741560246174e-05,12
81,Cadm2,0.0015494671386559126,9
82,Dlg2,0.0002276014132355041,9
83,Hsph1,0.0013944109209522346,7
84,Idh3a,0.004442696845570834,6
85,Hnrnpk,0.004300594392991028,7
86,Agap1,0.006703427402875746,6
87,Ppp3r1,0.00023770595538889585,11
88,Ptprz1,7.028056115754514e-05,10
89,Dnm1,0.00013791840880607024,9
90,Slc32a1,0.0014543760971773491,10
91,Basp1,0.0011905626962385556,11
92,Itfg1,0.0009694735516510543,6
93,Rasl11b,0.0001377866652615417,11
94,Lphn1,0.0019398821921828297,8
95,Ybx1,0.003476864422185916,8
96,Inf2,0.0003121392485138167,6
97,Ptprs,0.007263935758514813,6
98,Morf4l2,0.0028443866167716853,9
99,Ablim3,3.8814891847467504e-05,11
100,Nrcam,0.003321925753020795,7
101,Slc30a9,0.004601230254063944,6
102,Itm2a,7.431891515238279e-06,9
103,Map4,0.0030943144504184173,10
104,2610507B11Rik,0.0033153188597025195,6
105,Arf3,0.000316935341954779,11
106,Camk4,8.51862619628307e-06,8
107,Gria3,3.970209496549537e-06,11
108,Ddx5,0.002742025252408856,7
109,Nat8l,0.0001260315705640854,12
110,Cpe,1.1914248661269225e-05,10
111,Bcan,0.0008800298722341595,7
112,Cpsf6,0.003055933008719884,6
113,Uqcrc1,0.004326738348446187,6
114,Prkar1b,0.0005333662753101431,9
115,Ahi1,0.0019770756700710325,11
116,Cox7c,0.005411652209829382,6
117,Chchd10,0.0007939413508816466,7
118,Sfxn5,0.002268775719666648,10
119,Ntrk2,0.0017075655622602953,7
120,Snap25,3.039920521157024e-05,12
121,Gabarapl2,0.004196711008450254,6
122,Arpp21,0.0004290871827849931,10
123,B230219D22Rik,0.001455397977070817,6
124,Atp6v1c1,0.0005689700987630932,7
125,Ppia,0.0009223279622378133,9
126,2900097C17Rik,2.0133451613963686e-05,12
127,Camkv,0.0001537097803643498,10
128,Luc7l2,0.001202380795988093,6
129,Pi4ka,0.002863900761418048,6
130,Eef1a2,0.00033978326900269265,10
131,Trim9,0.0003650128857601564,11
132,Map1a,0.0006250159444321705,12
133,Rasgrp1,0.00015835855254959743,12
134,Kif5a,0.0014258250966441707,10
135,Mbp,9.720709974800445e-05,11
136,Gprin1,0.00020227108714963144,12
137,Hsp90aa1,0.001369923787639784,11
138,Mapk8ip3,0.002772990649766169,7
139,Tspan3,0.000398031029983767,11
140,Spop,0.006487382897978842,6
141,Gstm1,9.579242979082967e-05,11
142,Fbxl16,0.00014548290654714248,9
143,Atp6v1g2,0.0029289272985874586,7
144,Rab2a,0.0035219242972066344,6
145,Cltc,0.0015967372807166864,9
146,Plekhb1,0.0006880028181143693,12
147,Ubr3,0.001960426251403584,9
148,Syt1,0.0011440786960864539,11
149,1700113A16Rik,0.0007591662147308782,10
